col_1,Sample Date,col_3_1,col_4_2,IEEE,col_6_3,col_7_4,IEC,col_9_5,CO2,C2H4,O2,C2H6,CO,CH4,N2,H2,C2H2
,16/04/2023 00:00,,,Investigate:: 2,,,Abnormal :: 4,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,30/04/2023 00:00,,,Investigate:: 2,,,Normal :: 2,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,07/06/2023 00:00,,,Action Required :: 3,,,Abnormal :: 4,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,09/07/2023 00:00,,,Action Required :: 3,,,Abnormal :: 4,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,09/08/2023 00:00,,,Action Required :: 3,,,Abnormal :: 4,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,12/09/2023 00:00,,,Action Required :: 3,,,Abnormal :: 4,,NA,NA,NA,NA,NA,NA,NA,NA,NA
