col_1,Sample Date,col_3,col_4,H2,col_6,col_7,O2,col_9,col_10,N2,col_12,col_13,CA,col_15,col_16,CO2,col_18,col_19,CH4,col_21,col_22,C2H4,col_24,col_25,C2H6,col_27,col_28,C2H2,col_30
,16/04/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,30/04/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,07/06/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,09/07/2023 00:00,,,-803,,,-9181,,,-21949,,,-233,,,318,,,-4189,,,-6359,,,-3063,,,0,
,09/08/2023 00:00,,,-491,,,-7265,,,-14379,,,-134,,,643,,,-2623,,,-3981,,,-1944,,,0,
,12/09/2023 00:00,,,-129,,,-7614,,,-1834,,,-21,,,43,,,-1206,,,-1937,,,-1118,,,0,
