col_1,Project,col_3_1,col_4_2,Urmia,col_6_3,CO2,C2H4,O2,C2H6,CO,CH4,N2,H2,C2H2
,Manufacturer,,,IranTransfo,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serial Number,,,3977634256,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oil Type,,,,Mineral,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sample Expert,,,,Zanjani,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Power Rating [MVA],,,200 MVA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voltage Rating [kV],,,15.75/400,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Year of Manufacture,,,2018,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Location,,,Urmia,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Report Date,,,2025.09.11,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
