col_1,Sample Date,col_3_1,col_4_2,H.o.2,col_6_3,col_7_4,O2,col_9_5,col_10_6,N2,col_12_7,col_13_8,Co,col_15_9,col_16_10,CO2,col_18_11,col_19_12,CH4,col_21_13,col_22_14,C2H4,col_24_15,col_25_16,C2H6,col_27_17,col_28_18,C2H2,col_30_19,CO,H2
,16/04/2023 00:00,,,305,,,4709,,,10529,,,113s,,,1306,,,1468,,,2254,,,1036,,,0,,NA,NA
,30/04/2023 00:00,,,6,,,4210,,,2634,,,13,,,1163,,,12,,,20,,,10,,,0,,NA,NA
,07/06/2023 00:00,,,26,,,1835,,,2741,,,29,,,1192,,,70,,,116,,,37,,,0,,NA,NA
,09/07/2023 00:00,,,39,,,3032,,,3448,,,30,,,1349,,,115,,,193,,,59,,,0,,NA,NA
,09/08/2023 00:00,,,51,,,2297,,,3280,,,37,,,1448,,,167,,,268,,,93,,,0,,NA,NA
,12/09/2023 00:00,,,164,,,1152,,,7938,,,74,,,1117,,,495,,,705,,,215,,,0,,NA,NA
