col_1,Sample Date,col_3,col_4,H2,col_6,col_7,O2,col_9,col_10,N2,col_12,col_13,CA,col_15,col_16,CO2,col_18,col_19,CH4,col_21,col_22,C2H4,col_24,col_25,C2H6,col_27,col_28,C2H2,col_30
,16/04/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,30/04/2023 00:00,,,-299,,,-499,,,-7895,,,-100,,,-143,,,-1456,,,-2234,,,-1026,,,0,
,07/06/2023 00:00,,,20,,,-2375,,,107,,,16,,,29,,,58,,,96,,,27,,,0,
,09/07/2023 00:00,,,13,,,1197,,,707,,,1,,,157,,,45,,,77,,,22,,,0,
,09/08/2023 00:00,,,12,,,-735,,,-168,,,7,,,99,,,52,,,75,,,34,,,0,
,12/09/2023 00:00,,,113,,,-1145,,,4658,,,37,,,-331,,,328,,,437,,,122,,,0,
