col_1,Sample Date,col_3_1,col_4_2,H2,col_6_3,col_7_4,O2,col_9_5,col_10_6,N2,col_12_7,col_13_8,CA,col_15_9,col_16_10,CO2,col_18_11,col_19_12,CH4,col_21_13,col_22_14,C2H4,col_24_15,col_25_16,C2H6,col_27_17,col_28_18,C2H2,col_30_19
,16/04/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,30/04/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,07/06/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,09/07/2023 00:00,,,-803,,,-9181,,,-21949,,,-233,,,318,,,-4189,,,-6359,,,-3063,,,0,
,09/08/2023 00:00,,,-491,,,-7265,,,-14379,,,-134,,,643,,,-2623,,,-3981,,,-1944,,,0,
,12/09/2023 00:00,,,-129,,,-7614,,,-1834,,,-21,,,43,,,-1206,,,-1937,,,-1118,,,0,
