ﺦﯾﺭﺎﺗ,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,O2,N2,ﺺﯿﺨﺸﺗ
1401/06/05,58.0,101.0,94.0,504.0,12.83,156.0,2291.0,7133.0,31059.0,N/A
1402/05/28,52.0,131.0,114.0,413.0,7.5,177.0,2538.0,7483.0,32927.0,N/A
1402/12/17,8.0,14.0,20.0,22.0,0.0,75.0,1647.0,7177.0,6743.0,N/A
1403/02/06,7.0,10.0,20.0,21.0,0.9,89.0,2413.0,7109.0,58238.0,N/A
1403/04/19,8.0,18.0,30.0,27.0,0.0,71.0,1689.0,7565.0,59673.0,N/A
1403/12/04,7.0,26.0,28.0,26.0,0.0,22.0,2014.0,7347.0,60172.0,N/A
1404/05/25,8.0,24.0,31.0,26.0,0.0,77.0,2168.0,7498.0,60210.0,N/A
