col_1,Sample Date,col_3_1,col_4_2,H2,col_6_3,col_7_4,O2,col_9_5,col_10_6,N2,col_12_7,col_13_8,CA,col_15_9,col_16_10,CO2,col_18_11,col_19_12,CH4,col_21_13,col_22_14,C2H4,col_24_15,col_25_16,C2H6,col_27_17,col_28_18,C2H2,col_30_19,CO
,16/04/2023 00:00,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA
,30/04/2023 00:00,,,-299,,,-499,,,-7895,,,-100,,,-143,,,-1456,,,-2234,,,-1026,,,0,,NA
,07/06/2023 00:00,,,20,,,-2375,,,107,,,16,,,29,,,58,,,96,,,27,,,0,,NA
,09/07/2023 00:00,,,13,,,1197,,,707,,,1,,,157,,,45,,,77,,,22,,,0,,NA
,09/08/2023 00:00,,,12,,,-735,,,-168,,,7,,,99,,,52,,,75,,,34,,,0,,NA
,12/09/2023 00:00,,,113,,,-1145,,,4658,,,37,,,-331,,,328,,,437,,,122,,,0,,NA
